Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,"167,346.512",GPU instance,133.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$0.9776 hourly,$0.6364 hourly,$0.4336 hourly,$1.3456 hourly,$1.0044 hourly
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,"3,842,689.883",GPU instance,131.0 fps,768 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$13.3504 hourly,$8.6911 hourly,$3.6706 hourly,$22.1824 hourly,$17.5231 hourly
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,"332,519.354",GPU instance,133.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.3232 hourly,$0.8614 hourly,$0.6309 hourly,$2.0592 hourly,$1.5974 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,"689,915.378",GPU instance,135.0 fps,128 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.0144 hourly,$1.3114 hourly,$0.9195 hourly,$3.4864 hourly,$2.7834 hourly
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,"83,813.515",GPU instance,134.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$0.8048 hourly,$0.5239 hourly,$0.3493 hourly,$0.9888 hourly,$0.7079 hourly
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,"1,061,946.903",GPU instance,143.0 fps,384 GiB,48 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$10.4926 hourly,$6.6104 hourly,$3.6891 hourly,$12.7006 hourly,$8.8184 hourly
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,"1,347,368.421",GPU instance,129.0 fps,512 GiB,64 vCPUs,1900 GB (2×950 GB NVMe SSD),35 Gigabit,$7.5772 hourly,$4.7736 hourly,$1.5318 hourly,$10.5212 hourly,$7.7176 hourly
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,"1,793,470.646",GPU instance,144.0 fps,768 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,$15.0656 hourly,$9.4913 hourly,$5.0145 hourly,$19.4816 hourly,$13.9073 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,"163,968.026",GPU instance,143.0 fps,64 GiB,8 vCPUs,450 GB NVMe SSD,Up to 20 Gigabit,$2.2421 hourly,$1.4125 hourly,$0.7478 hourly,$2.6101 hourly,$1.7805 hourly
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,"3,635,502.959",GPU instance,142.0 fps,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$30.1312 hourly,$18.9826 hourly,$8.3132 hourly,$38.9632 hourly,$27.8146 hourly
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,"343,366.06",GPU instance,143.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,20 Gigabit,$3.0042 hourly,$1.8927 hourly,$1.0278 hourly,$3.7402 hourly,$2.6287 hourly
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,"692,715.662",GPU instance,110.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$4.5286 hourly,$2.853 hourly,$1.2392 hourly,$6.0006 hourly,$4.325 hourly
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,"79,400.526",GPU instance,146.0 fps,32 GiB,4 vCPUs,250 GB NVMe SSD,Up to 20 Gigabit,$1.861 hourly,$1.1724 hourly,$0.8749 hourly,$2.045 hourly,$1.3564 hourly
G6F Double Extra Large,g6f.2xlarge,"174,083.342",GPU instance,66.0 fps,32 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.475 hourly,,$0.1577 hourly,$0.843 hourly,
G6F Quadruple Extra Large,g6f.4xlarge,"348,754.836",GPU instance,122.0 fps,64 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$0.95 hourly,,$0.3876 hourly,$1.686 hourly,
G6F Large,g6f.large,"40,677.277",GPU instance,17.0 fps,8 GiB,2 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.202 hourly,,$0.0527 hourly,$0.294 hourly,
G6F Extra Large,g6f.xlarge,"70,975.469",GPU instance,30.0 fps,16 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.2375 hourly,,$0.0728 hourly,$0.4215 hourly,
G7E 12xlarge Extra Large,g7e.12xlarge,"1,199,200.533",GPU instance,71.0 fps,512 GiB,48 vCPUs,3800 GB NVMe SSD,400 Gigabit,$8.2861 hourly,,$3.7525 hourly,$10.4941 hourly,
G7E 24xlarge,g7e.24xlarge,"2,040,960.952",GPU instance,161.0 fps,1024 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),800 Gigabit,$16.5722 hourly,,$7.4967 hourly,$20.9882 hourly,
G7E Double Extra Large,g7e.2xlarge,"219,398.482",GPU instance,118.0 fps,64 GiB,8 vCPUs,1900 GB NVMe SSD,50 Gigabit,$3.3631 hourly,,$1.5346 hourly,$3.7311 hourly,
G7E 48xlarge,g7e.48xlarge,"4,097,019.703",GPU instance,122.0 fps,2048 GiB,192 vCPUs,15200 GB (4×3800 GB NVMe SSD),1600 Gigabit,$33.1443 hourly,,$14.9231 hourly,$41.9763 hourly,
G7E Quadruple Extra Large,g7e.4xlarge,"383,524.43",GPU instance,152.0 fps,128 GiB,16 vCPUs,1900 GB NVMe SSD,50 Gigabit,$3.9982 hourly,,$1.8605 hourly,$4.7342 hourly,
G7E Eight Extra Large,g7e.8xlarge,"852,916.352",GPU instance,153.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,100 Gigabit,$5.2682 hourly,,$2.341 hourly,$6.7402 hourly,
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,"326,914.236",GPU instance,127.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.5392 hourly,$1.002 hourly,$0.6481 hourly,$2.2752 hourly,$1.738 hourly
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,"644,316.923",GPU instance,134.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.4464 hourly,$1.5926 hourly,$0.8348 hourly,$3.9184 hourly,$3.0646 hourly
GR6F Quadruple Extra Large,gr6f.4xlarge,"331,434.49",GPU instance,118.0 fps,128 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$1.066 hourly,,$0.3607 hourly,$1.802 hourly,
H1 16xlarge Extra Large,h1.16xlarge,"1,104,495.642",Storage optimized,211.0 fps,256 GiB,64 vCPUs,16000 GB (8×2000 GB HDD),25 Gigabit,$3.744 hourly,$2.545 hourly,$1.2169 hourly,$6.688 hourly,$5.489 hourly
H1 Double Extra Large,h1.2xlarge,"119,790.367",Storage optimized,47.0 fps,32 GiB,8 vCPUs,2000 GB HDD,Up to 10 Gigabit,$0.468 hourly,$0.318 hourly,$0.2109 hourly,$0.836 hourly,$0.686 hourly
H1 Quadruple Extra Large,h1.4xlarge,"271,197.932",Storage optimized,103.0 fps,64 GiB,16 vCPUs,4000 GB (2×2000 GB HDD),Up to 10 Gigabit,$0.936 hourly,$0.636 hourly,$0.3469 hourly,$1.672 hourly,$1.372 hourly
H1 Eight Extra Large,h1.8xlarge,"559,538.381",Storage optimized,177.0 fps,128 GiB,32 vCPUs,8000 GB (4×2000 GB HDD),10 Gigabit,$1.872 hourly,$1.272 hourly,$0.6851 hourly,$3.344 hourly,$2.744 hourly
HPC6A 48xlarge,hpc6a.48xlarge,"2,704,225.352",Compute optimized,235.0 fps,384 GiB,96 vCPUs,EBS only,100 Gigabit,,,,,
HPC6ID 32xlarge,hpc6id.32xlarge,"1,644,610.048",Compute optimized,216.0 fps,1024 GiB,64 vCPUs,15200 GB (4×3800 GB NVMe SSD),200 Gigabit,,,,,
HPC7A 12xlarge Extra Large,hpc7a.12xlarge,"777,957.861",Compute optimized,180.0 fps,768 GiB,24 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 24xlarge,hpc7a.24xlarge,"1,661,187.057",Compute optimized,272.0 fps,768 GiB,48 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 48xlarge,hpc7a.48xlarge,"3,240,324.032",Compute optimized,305.0 fps,768 GiB,96 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 96xlarge,hpc7a.96xlarge,"6,797,663.303",Compute optimized,326.0 fps,768 GiB,192 vCPUs,EBS only,300 Gigabit,,,,,
HPC7G 16xlarge Extra Large,hpc7g.16xlarge,"1,576,743.04",Compute optimized,242.0 fps,128 GiB,64 vCPUs,EBS only,200 Gigabit,$1.6832 hourly,$1.3255 hourly,,,
HPC7G Quadruple Extra Large,hpc7g.4xlarge,"405,911.08",Compute optimized,134.0 fps,128 GiB,16 vCPUs,EBS only,200 Gigabit,$1.6832 hourly,$1.3255 hourly,,,
HPC7G Eight Extra Large,hpc7g.8xlarge,"819,304.871",Compute optimized,214.0 fps,128 GiB,32 vCPUs,EBS only,200 Gigabit,$1.6832 hourly,$1.3255 hourly,,,
High Storage Eight Extra Large,hs1.8xlarge,,Storage optimized,,117 GiB,16 vCPUs,EBS only,10 Gigabit,,,,$4.60 hourly,
I2 Double Extra Large,i2.2xlarge,"127,720.717",Storage optimized,46.0 fps,61 GiB,8 vCPUs,1600 GB (2×800 GB SSD),High,$1.705 hourly,$0.848 hourly,$0.2902 hourly,$1.946 hourly,$1.131 hourly
I2 Quadruple Extra Large,i2.4xlarge,"246,583.787",Storage optimized,87.0 fps,122 GiB,16 vCPUs,3200 GB (4×800 GB SSD),High,$3.41 hourly,$1.696 hourly,$0.5843 hourly,$3.891 hourly,$2.26 hourly
I2 Eight Extra Large,i2.8xlarge,"507,533.703",Storage optimized,138.0 fps,244 GiB,32 vCPUs,6400 GB (8×800 GB SSD),10 Gigabit,$6.82 hourly,$3.392 hourly,$1.097 hourly,$7.782 hourly,$4.521 hourly
I2 Large,i2.large,,Storage optimized,,15 GiB,2 vCPUs,EBS only,Moderate,,,,,
I2 Extra Large,i2.xlarge,"64,906.089",Storage optimized,24.0 fps,30.5 GiB,4 vCPUs,800 GB SSD,Moderate,$0.853 hourly,$0.424 hourly,$0.1277 hourly,$0.973 hourly,$0.565 hourly
I3 High I/O 16xlarge Extra Large,i3.16xlarge,"853,447.126",Storage optimized,132.0 fps,488 GiB,64 vCPUs,15200 GB (8×1900 GB NVMe SSD),25 Gigabit,$4.992 hourly,$3.427 hourly,$1.4956 hourly,$7.936 hourly,$6.371 hourly
I3 High I/O Double Extra Large,i3.2xlarge,"136,083.351",Storage optimized,54.0 fps,61 GiB,8 vCPUs,1900 GB NVMe SSD,Up to 10 Gigabit,$0.624 hourly,$0.428 hourly,$0.2342 hourly,$0.992 hourly,$0.796 hourly
I3 High I/O Quadruple Extra Large,i3.4xlarge,"208,831.847",Storage optimized,64.0 fps,122 GiB,16 vCPUs,3800 GB (2×1900 GB NVMe SSD),Up to 10 Gigabit,$1.248 hourly,$0.857 hourly,$0.4971 hourly,$1.984 hourly,$1.593 hourly
I3 High I/O Eight Extra Large,i3.8xlarge,"425,305.688",Storage optimized,113.0 fps,244 GiB,32 vCPUs,7600 GB (4×1900 GB NVMe SSD),10 Gigabit,$2.496 hourly,$1.714 hourly,$0.7658 hourly,$3.968 hourly,$3.186 hourly
I3 High I/O Large,i3.large,"30,350.549",Storage optimized,12.0 fps,15.25 GiB,2 vCPUs,475 GB NVMe SSD,Up to 10 Gigabit,$0.156 hourly,$0.107 hourly,$0.0423 hourly,$0.248 hourly,$0.199 hourly
I3 High I/O Metal,i3.metal,,Storage optimized,,488 GiB,64 vCPUs,EBS only,20 Gigabit,$4.992 hourly,,,$7.936 hourly,
I3 High I/O Extra Large,i3.xlarge,"52,721.761",Storage optimized,17.0 fps,30.5 GiB,4 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.312 hourly,$0.214 hourly,$0.1154 hourly,$0.496 hourly,$0.398 hourly
I3EN 12xlarge Extra Large,i3en.12xlarge,"700,661.736",Storage optimized,156.0 fps,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$5.424 hourly,$3.694 hourly,$1.6688 hourly,$7.632 hourly,$5.902 hourly
I3EN 24xlarge,i3en.24xlarge,"1,364,605.544",Storage optimized,173.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),100 Gigabit,$10.848 hourly,$7.388 hourly,$3.1557 hourly,$15.264 hourly,$11.804 hourly
I3EN Double Extra Large,i3en.2xlarge,"127,206.233",Storage optimized,46.0 fps,64 GiB,8 vCPUs,5000 GB (2×2500 GB NVMe SSD),Up to 25 Gigabit,$0.904 hourly,$0.616 hourly,$0.3158 hourly,$1.272 hourly,$0.984 hourly
I3EN 3xlarge,i3en.3xlarge,"184,482.935",Storage optimized,61.0 fps,96 GiB,12 vCPUs,7500 GB NVMe SSD,Up to 25 Gigabit,$1.356 hourly,$0.924 hourly,$0.4272 hourly,$1.908 hourly,$1.476 hourly
I3EN 6xlarge,i3en.6xlarge,"355,625.803",Storage optimized,125.0 fps,192 GiB,24 vCPUs,15000 GB (2×7500 GB NVMe SSD),25 Gigabit,$2.712 hourly,$1.847 hourly,$0.7708 hourly,$3.816 hourly,$2.951 hourly
I3EN Large,i3en.large,"27,121.096",Storage optimized,12.0 fps,16 GiB,2 vCPUs,1250 GB NVMe SSD,Up to 25 Gigabit,$0.226 hourly,$0.154 hourly,$0.0603 hourly,$0.318 hourly,$0.246 hourly
I3EN Metal,i3en.metal,"1,319,950.502",Storage optimized,175.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),100 Gigabit,$10.848 hourly,$7.388 hourly,$2.5455 hourly,$15.264 hourly,$11.804 hourly
I3EN Extra Large,i3en.xlarge,"54,859.651",Storage optimized,19.0 fps,32 GiB,4 vCPUs,2500 GB NVMe SSD,Up to 25 Gigabit,$0.452 hourly,$0.308 hourly,$0.1326 hourly,$0.636 hourly,$0.492 hourly
I3P 16xlarge Extra Large,i3p.16xlarge,,Storage optimized,,488 GiB,64 vCPUs,EBS only,20 Gigabit,,,,,
I4G 16xlarge Extra Large,i4g.16xlarge,"1,271,186.441",Storage optimized,176.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,$4.9421 hourly,$3.2071 hourly,$1.2352 hourly,,
I4G Double Extra Large,i4g.2xlarge,"155,018.731",Storage optimized,50.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.6178 hourly,$0.4009 hourly,$0.164 hourly,,
I4G Quadruple Extra Large,i4g.4xlarge,"311,284.047",Storage optimized,94.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.2355 hourly,$0.8018 hourly,$0.4099 hourly,,
I4G Eight Extra Large,i4g.8xlarge,"642,699.337",Storage optimized,150.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),18.75 Gigabit,$2.471 hourly,$1.6036 hourly,$0.746 hourly,,
I4G Large,i4g.large,"37,845.339",Storage optimized,12.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.1544 hourly,$0.1002 hourly,$0.0467 hourly,,
I4G Extra Large,i4g.xlarge,"78,498.07",Storage optimized,26.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.3089 hourly,$0.2005 hourly,$0.1047 hourly,,
I4I 12xlarge Extra Large,i4i.12xlarge,"817,926.216",Storage optimized,219.0 fps,384 GiB,48 vCPUs,11250 GB (3×3750 GB NVMe SSD),28.12 Gigabit,$4.118 hourly,$2.672 hourly,$1.2992 hourly,$6.326 hourly,$4.88 hourly
I4I 16xlarge Extra Large,i4i.16xlarge,"1,102,497.847",Storage optimized,187.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,$5.491 hourly,$3.563 hourly,$1.7983 hourly,$8.435 hourly,$3.563 hourly
I4I 24xlarge,i4i.24xlarge,"1,713,979.646",Storage optimized,237.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),56.25 Gigabit,$8.2368 hourly,$5.3449 hourly,$2.5943 hourly,$12.6528 hourly,$9.7609 hourly
I4I Double Extra Large,i4i.2xlarge,"138,864.78",Storage optimized,56.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.686 hourly,$0.445 hourly,$0.2787 hourly,$1.054 hourly,$0.813 hourly
I4I 32xlarge,i4i.32xlarge,"2,201,393.069",Storage optimized,221.0 fps,1024 GiB,128 vCPUs,30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$10.9824 hourly,$7.1266 hourly,$4.1275 hourly,$16.8704 hourly,$7.1266 hourly
I4I Quadruple Extra Large,i4i.4xlarge,"269,269.606",Storage optimized,99.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.373 hourly,$0.891 hourly,$0.6195 hourly,$2.109 hourly,$1.627 hourly
I4I Eight Extra Large,i4i.8xlarge,"552,605.448",Storage optimized,183.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),18.75 Gigabit,$2.746 hourly,$1.782 hourly,$0.9686 hourly,$4.218 hourly,$1.782 hourly
I4I Large,i4i.large,"34,048.349",Storage optimized,14.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.172 hourly,$0.111 hourly,$0.0457 hourly,$0.264 hourly,$0.111 hourly
I4I Metal,i4i.metal,"2,356,189.6",Storage optimized,259.0 fps,1024 GiB,128 vCPUs,30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$10.982 hourly,$7.127 hourly,$2.9796 hourly,$16.87 hourly,$7.127 hourly
I4I Extra Large,i4i.xlarge,"66,786.326",Storage optimized,28.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.343 hourly,$0.223 hourly,$0.1128 hourly,$0.527 hourly,$0.223 hourly
I7I 12xlarge Extra Large,i7i.12xlarge,"1,053,401.609",Storage optimized,236.0 fps,384 GiB,48 vCPUs,11250 GB (3×3750 GB NVMe SSD),Up to 28 Gigabit,$4.5302 hourly,,$1.1878 hourly,$6.7382 hourly,
I7I 16xlarge Extra Large,i7i.16xlarge,"1,403,970.604",Storage optimized,243.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),Up to 37.5 Gigabit,$6.0403 hourly,,$1.6062 hourly,$8.9843 hourly,
I7I 24xlarge,i7i.24xlarge,"2,061,412.927",Storage optimized,257.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$9.0605 hourly,,$2.3791 hourly,$13.4765 hourly,
I7I Double Extra Large,i7i.2xlarge,"158,290.463",Storage optimized,62.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.755 hourly,,$0.2268 hourly,$1.123 hourly,
I7I 48xlarge,i7i.48xlarge,"3,889,526.639",Storage optimized,278.0 fps,1536 GiB,192 vCPUs,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,$18.121 hourly,,$5.7846 hourly,$26.953 hourly,
I7I Quadruple Extra Large,i7i.4xlarge,"365,234.264",Storage optimized,126.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.5101 hourly,,$0.5153 hourly,$2.2461 hourly,
I7I Eight Extra Large,i7i.8xlarge,"804,255.854",Storage optimized,228.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),Up to 25 Gigabit,$3.0202 hourly,,$0.90 hourly,$4.4922 hourly,
I7I Large,i7i.large,"48,531.91",Storage optimized,19.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.1888 hourly,,$0.0534 hourly,$0.2808 hourly,
I7I Metal-24xl,i7i.metal-24xl,"2,091,959.032",Storage optimized,270.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$9.0605 hourly,,$1.4572 hourly,$13.4765 hourly,
I7I Metal-48xl,i7i.metal-48xl,"4,142,394.822",Storage optimized,283.0 fps,1536 GiB,192 vCPUs,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,$18.121 hourly,,$1.8121 hourly,$26.953 hourly,
I7I Extra Large,i7i.xlarge,"99,481.865",Storage optimized,38.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.3775 hourly,,$0.1068 hourly,$0.5615 hourly,
I7IE 12xlarge Extra Large,i7ie.12xlarge,"1,129,456.057",Storage optimized,243.0 fps,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),Up to 50 Gigabit,$6.2376 hourly,,$1.6811 hourly,$8.4456 hourly,
I7IE 18xlarge,i7ie.18xlarge,"1,694,316.978",Storage optimized,252.0 fps,576 GiB,72 vCPUs,45000 GB (6×7500 GB NVMe SSD),Up to 75 Gigabit,$9.3564 hourly,,$3.5301 hourly,$12.6684 hourly,
I7IE 24xlarge,i7ie.24xlarge,"2,007,178.451",Storage optimized,262.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),Up to 100 Gigabit,$12.4752 hourly,,$3.6917 hourly,$16.8912 hourly,
I7IE Double Extra Large,i7ie.2xlarge,"199,277.619",Storage optimized,71.0 fps,64 GiB,8 vCPUs,5000 GB (2×2500 GB NVMe SSD),Up to 25 Gigabit,$1.0396 hourly,,$0.3519 hourly,$1.4076 hourly,
I7IE 3xlarge,i7ie.3xlarge,"270,620.736",Storage optimized,97.0 fps,96 GiB,12 vCPUs,7500 GB NVMe SSD,Up to 25 Gigabit,$1.5594 hourly,,$0.603 hourly,$2.1114 hourly,
I7IE 48xlarge,i7ie.48xlarge,"4,036,157.242",Storage optimized,279.0 fps,1536 GiB,192 vCPUs,120000 GB (16×7500 GB NVMe SSD),100 Gigabit,$24.9504 hourly,,$10.1195 hourly,$33.7824 hourly,
I7IE 6xlarge,i7ie.6xlarge,"646,725.95",Storage optimized,203.0 fps,192 GiB,24 vCPUs,15000 GB (2×7500 GB NVMe SSD),Up to 25 Gigabit,$3.1188 hourly,,$0.9275 hourly,$4.2228 hourly,
I7IE Large,i7ie.large,"41,528.239",Storage optimized,17.0 fps,16 GiB,2 vCPUs,1250 GB NVMe SSD,Up to 25 Gigabit,$0.2599 hourly,,$0.0735 hourly,$0.3519 hourly,
I7IE Metal-24xl,i7ie.metal-24xl,"2,124,520.508",Storage optimized,272.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),Up to 100 Gigabit,$12.4752 hourly,,$2.6585 hourly,$16.8912 hourly,
I7IE Metal-48xl,i7ie.metal-48xl,"4,216,536.73",Storage optimized,284.0 fps,1536 GiB,192 vCPUs,120000 GB (16×7500 GB NVMe SSD),100 Gigabit,$24.9504 hourly,,$6.759 hourly,$33.7824 hourly,
I7IE Extra Large,i7ie.xlarge,"80,955.272",Storage optimized,33.0 fps,32 GiB,4 vCPUs,2500 GB NVMe SSD,Up to 25 Gigabit,$0.5198 hourly,,$0.1622 hourly,$0.7038 hourly,
I8G 12xlarge Extra Large,i8g.12xlarge,"1,442,199.354",Storage optimized,293.0 fps,384 GiB,48 vCPUs,11250 GB (3×3750 GB NVMe SSD),Up to 28.12 Gigabit,$4.1184 hourly,,$1.0828 hourly,,
I8G 16xlarge Extra Large,i8g.16xlarge,"1,936,166.994",Storage optimized,295.0 fps,512 GiB,64 vCPUs,15000 GB (4×3750 GB NVMe SSD),Up to 37.5 Gigabit,$5.4912 hourly,,$1.6087 hourly,,
I8G 24xlarge,i8g.24xlarge,"2,969,378.286",Storage optimized,297.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$8.2368 hourly,,$1.3572 hourly,,
I8G Double Extra Large,i8g.2xlarge,"247,524.752",Storage optimized,88.0 fps,64 GiB,8 vCPUs,1875 GB NVMe SSD,Up to 12 Gigabit,$0.6864 hourly,,$0.2356 hourly,,
I8G 48xlarge,i8g.48xlarge,"5,308,633.442",Storage optimized,276.0 fps,1536 GiB,192 vCPUs,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,$16.4736 hourly,,$3.6353 hourly,,
I8G Quadruple Extra Large,i8g.4xlarge,"458,157.348",Storage optimized,159.0 fps,128 GiB,16 vCPUs,3750 GB NVMe SSD,Up to 25 Gigabit,$1.3728 hourly,,$0.4266 hourly,,
I8G Eight Extra Large,i8g.8xlarge,"972,348.83",Storage optimized,257.0 fps,256 GiB,32 vCPUs,7500 GB (2×3750 GB NVMe SSD),Up to 25 Gigabit,$2.7456 hourly,,$0.789 hourly,,
I8G Large,i8g.large,"61,900.34",Storage optimized,22.0 fps,16 GiB,2 vCPUs,468 GB NVMe SSD,Up to 10 Gigabit,$0.1716 hourly,,$0.0548 hourly,,
I8G Metal-24xl,i8g.metal-24xl,"3,072,245.78",Storage optimized,300.0 fps,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$8.2368 hourly,,$1.0122 hourly,,
I8G Extra Large,i8g.xlarge,"123,743.233",Storage optimized,45.0 fps,32 GiB,4 vCPUs,937 GB NVMe SSD,Up to 10 Gigabit,$0.3432 hourly,,$0.1415 hourly,,
I8GE 12xlarge Extra Large,i8ge.12xlarge,"1,412,491.724",Storage optimized,292.0 fps,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),75 Gigabit,$5.6952 hourly,,$2.2013 hourly,,
I8GE 18xlarge,i8ge.18xlarge,"2,161,026.488",Storage optimized,296.0 fps,576 GiB,72 vCPUs,45000 GB (6×7500 GB NVMe SSD),112.5 Gigabit,$8.5428 hourly,,$1.2952 hourly,,
I8GE 24xlarge,i8ge.24xlarge,"2,777,175.092",Storage optimized,164.0 fps,768 GiB,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),150 Gigabit,$11.3904 hourly,,$2.647 hourly,,
I8GE Double Extra Large,i8ge.2xlarge,"240,493.011",Storage optimized,87.0 fps,64 GiB,8 vCPUs,5000 GB (2×2500 GB NVMe SSD),Up to 25 Gigabit,$0.9492 hourly,,$0.3583 hourly,,
I8GE 3xlarge,i8ge.3xlarge,"374,707.26",Storage optimized,124.0 fps,96 GiB,12 vCPUs,7500 GB NVMe SSD,Up to 25 Gigabit,$1.4238 hourly,,$0.3661 hourly,,
I8GE 48xlarge,i8ge.48xlarge,"5,487,282.081",Storage optimized,277.0 fps,1536 GiB,192 vCPUs,120000 GB (16×7500 GB NVMe SSD),300 Gigabit,$22.7808 hourly,,$7.9555 hourly,,
I8GE 6xlarge,i8ge.6xlarge,"726,117.54",Storage optimized,214.0 fps,192 GiB,24 vCPUs,15000 GB (2×7500 GB NVMe SSD),37.5 Gigabit,$2.8476 hourly,,$0.8493 hourly,,
